uncertainty_quantification,MSETest,EnergyScoreTest,CoverageTest,IntervalWidthTest
laplace,0.04177,0.03018,0.13897,0.00599
scoring-rule-dropout,0.03244,0.02392,0.99206,0.04325
scoring-rule-reparam,0.05318,0.03153,0.01572,0.00171
