uncertainty_quantification,MSETest,EnergyScoreTest,CoverageTest,IntervalWidthTest
dropout,146.06979,131.20745,0.29937,1.28259
laplace,145.39495,144.74802,0.00706,0.0226
scoring-rule-dropout,142.28037,100.42441,0.74401,7.75938
scoring-rule-reparam,147.57289,103.90343,0.34478,4.88358
