,dropout,dropout,laplace,laplace,scoring-rule-dropout,scoring-rule-dropout,scoring-rule-reparam,scoring-rule-reparam
Statistic,Mean,Std,Mean,Std,Mean,Std,Mean,Std
CRPSValidation,0.11012888699769974,0.01069351751357317,0.12883111834526062,0.013824950903654099,0.08112332969903946,0.005488995462656021,0.09492555260658264,0.007460699416697025
Gaussian NLLValidation,0.18067777156829834,0.5307177901268005,0.1154777780175209,0.2085965871810913,-0.5188300013542175,0.05113159120082855,27017414.0,37679348.0
CoverageValidation,0.7402211427688599,0.0540294423699379,0.9151633381843567,0.0636395514011383,0.9918099641799927,0.0016478179022669792,0.7030044198036194,0.0896088108420372
IntervalWidthValidation,0.38464000821113586,0.011782489717006683,0.9763078093528748,0.21612992882728577,0.8919000029563904,0.04644683748483658,0.4837977886199951,0.08264840394258499
MSETest,0.3845410943031311,0.02056741714477539,0.42220333218574524,0.05109779164195061,0.29546666145324707,0.020651746541261673,0.3132355511188507,0.02435193583369255
EnergyScoreTest,0.2971622347831726,0.019405420869588852,0.3063499927520752,0.034510236233472824,0.22022221982479095,0.013239107094705105,0.2207755595445633,0.017010074108839035
CRPSTest,0.11932999640703201,0.010231353342533112,0.13457222282886505,0.013528325594961643,0.08960110694169998,0.005138774402439594,0.10484444350004196,0.006867881398648024
Gaussian NLLTest,0.45156222581863403,0.5339528918266296,0.18213222920894623,0.24717947840690613,-0.46092334389686584,0.04633553326129913,25286562.0,36071812.0
CoverageTest,0.7062600255012512,0.04960327222943306,0.9024255275726318,0.06944351643323898,0.9840022325515747,0.0032018288038671017,0.6912400126457214,0.08973147720098495
IntervalWidthTest,0.38193443417549133,0.012308435514569283,0.9605922102928162,0.21776597201824188,0.8923077583312988,0.04668525978922844,0.49706998467445374,0.08423495292663574
