uncertainty_quantification,MSETest,EnergyScoreTest,CoverageTest,IntervalWidthTest
dropout,157.33899,142.71083,0.18617,1.00688
laplace,156.60301,156.4546,0.00084,0.00375
scoring-rule-dropout,154.81169,109.10387,0.57489,7.24986
scoring-rule-reparam,157.74738,111.02114,0.5046,6.63724
