uncertainty_quantification,dropout,MSETest,EnergyScoreTest,CoverageTest,IntervalWidthTest
dropout,0.05,147.90255737304688,129.04640197753906,0.3189699947834015,1.471500039100647
laplace,0.05,145.96914672851562,145.15269470214844,0.008799999952316284,0.027370000258088112
scoring-rule-dropout,0.01,140.2274932861328,98.98222351074219,0.7358499765396118,7.5812201499938965
scoring-rule-reparam,0.01,147.0830535888672,103.56720733642578,0.358240008354187,4.948609828948975
